Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
0,942,445,0,1,0.0010616,0,1,12.8,39833,85,142,225,884,1,16,1,2,38,59,46,38
0,5183,1582,0,0,0,0,0,16.5,57995,2549,1600,502,3292,25,41,10,65,1750,3120,25,111
1,5121,1830,0,59,0.0115212,0,1,14.1,55500,2269,1496,685,3603,48,68,39,137,1226,2400,144,248
1,6055,1716,0,109,0.0180017,0,0,13.1,57102,2313,1940,560,3510,60,119,8,88,2270,4157,111,133
0,2495,942,0,53,0.0212425,0,0,10.1,61563,892,664,431,1772,49,21,6,82,565,886,38,78
0,2565,986,0,4,0.0015595,0,1,18.3,43644,1269,710,317,1677,13,32,5,47,791,1241,62,103
1,3659,1586,0,14,0.0038262,0,1,7.3,73917,1051,639,705,2895,175,161,7,33,388,597,90,137
1,6592,2231,0,66,0.0100121,0,1,23.1,59077,3284,1884,654,4180,467,218,40,80,1607,2579,146,171
1,3779,1180,0,7,0.0018523,0,0,0.5,79688,560,1135,184,2631,282,178,15,37,636,1203,23,29
1,6347,1943,0,10,0.0015755,0,1,8.2,74811,1612,1899,488,3779,458,439,30,36,1605,2549,100,230
1,7718,2126,0,6,0.0007774,1,0,6.2,90273,2667,2590,382,4546,745,578,25,70,1754,2998,153,183
1,5641,1616,0,7,0.0012409,0,0,15.9,101696,2434,1823,285,1931,1410,963,54,40,1243,1456,20,197
1,10039,2971,0,14,0.0013946,0,0,7.9,101125,1664,2972,665,7020,503,633,31,85,1767,2842,48,86
1,7624,2216,0,2,0.0002623,0,0,11.5,85536,2180,2513,467,4466,597,897,27,52,1585,2608,29,120
0,10812,3298,0,110,0.0101739,0,0,10.1,85317,3293,3419,845,6757,696,526,37,95,2701,4476,119,202
1,9989,2898,0,47,0.0047052,0,0,9.1,93477,2109,3280,589,5220,1491,1454,48,55,1721,2380,27,185
1,7080,2088,0,11,0.0015537,0,0,3.3,110660,944,2429,433,5136,430,401,39,51,1023,1705,33,45
1,8491,2726,0,16,0.0018843,0,0,5.3,102411,1364,2739,1167,5668,737,853,19,52,1162,1796,71,55
1,4182,1478,0,5,0.0011956,0,1,5.6,74412,1637,1110,560,3114,150,164,14,35,705,1160,58,36
1,8309,3267,0,9,0.0010832,0,0,3.5,114447,1007,1888,2176,6686,288,366,37,35,897,1543,57,37
1,3718,1175,0,22,0.0059172,0,0,7.9,114833,556,1216,378,2403,268,567,21,11,448,636,48,0
0,1426,449,0,100,0.0701262,0,1,2,58917,272,431,145,1017,67,5,11,12,314,555,5,0
1,3433,1409,0,37,0.0107777,0,0,11.1,83333,865,630,643,3022,68,79,9,24,231,416,19,107
1,3738,1508,0,0,0,0,0,2.1,117059,440,710,618,3291,79,91,5,30,242,420,32,90
1,6738,1958,0,35,0.0051944,0,0,4.5,116644,813,2391,272,5030,406,357,39,34,872,1458,102,19
1,6620,2245,0,157,0.023716,1,1,27.6,37419,3350,1922,500,3603,932,162,43,65,1815,3018,257,347
1,2985,1045,0,2,0.00067,0,1,8.2,68659,899,745,419,1877,278,111,6,28,685,986,35,91
1,4881,1677,0,118,0.0241754,0,1,23.3,57679,2318,1218,676,3131,463,133,64,50,1040,1801,178,219
1,3324,1138,0,37,0.0111312,0,1,18.4,62347,1085,858,435,1935,494,140,5,41,709,1009,48,99
1,4166,1472,0,7,0.0016803,0,1,13.4,76193,1403,944,613,2748,424,232,26,44,692,1173,116,196
1,5038,1689,0,0,0,0,1,25.3,42235,3066,1416,463,2661,456,144,20,87,1670,2491,43,219
1,3467,1106,0,59,0.0170176,0,1,19.9,42610,1809,1102,335,1900,487,173,33,48,826,1596,179,271
1,3933,1348,0,1,0.0002543,1,1,31.2,33780,2820,1354,139,1114,1207,178,71,24,1339,1817,243,440
1,4300,1296,0,10,0.0023256,0,1,19,53962,1309,1097,544,2382,409,257,45,49,1158,1721,62,110
1,6595,2419,0,16,0.0024261,1,1,14.2,61598,2778,1696,635,3377,1181,460,56,63,1458,2049,320,246
1,7229,2408,0,9,0.001245,0,1,11.9,65469,1721,1790,853,4539,839,389,33,81,1348,2179,150,241
1,4194,1268,0,8,0.0019075,0,0,4.4,104250,453,1119,277,2064,700,571,42,22,795,1076,25,117
1,2771,1017,0,32,0.0115482,0,1,19.6,70100,1085,671,244,932,933,234,19,22,631,809,41,132
1,5641,1613,0,0,0,0,1,21.5,50833,3098,1792,320,1861,1054,547,14,66,2099,3028,108,458
1,5001,1416,0,26,0.005199,0,1,18.9,51536,2744,1497,365,1619,977,691,17,65,1632,2620,82,302
1,2292,745,0,46,0.0200698,0,1,32.6,47750,1100,679,281,580,920,166,39,16,571,878,121,178
1,7251,2596,0,8,0.0011033,0,1,24.6,46538,3708,1875,1028,2652,1516,1017,86,69,1911,2840,406,296
1,3984,1353,0,92,0.0230924,0,1,9,75125,613,1063,402,1612,973,398,63,41,897,1414,93,72
1,7723,2514,0,28,0.0036255,0,0,10.8,88147,1706,1894,715,3194,1340,1241,59,55,1834,2535,97,164
1,3222,946,0,27,0.0083799,0,1,9.3,70735,983,784,241,1426,299,549,48,19,881,1278,20,100
1,5542,1745,0,19,0.0034284,0,1,15.8,76250,1646,1480,513,2577,711,556,73,51,1574,2494,114,174
